frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
107;1664534701;377574969;0.544543;-0.0171776;-0.0424168;208.016;-686.231;170.866;188.237;-675.257;2.75279;-0.10707;0.146714;2.64185;-0.062;0.164;0
108;1664534701;477530071;0.491654;-0.0144804;-0.0476774;208.016;-686.234;170.867;188.222;-675.242;3.01808;-0.0853989;0.148319;2.64583;-0.126;0.08;0
109;1664534701;577520237;0.462216;-0.0116482;-0.0491455;208.016;-686.234;170.867;188.207;-675.224;3.26657;-0.0650484;0.13257;2.54782;-0.113;0.054;0
110;1664534701;677501957;0.439886;-0.00983237;-0.0463023;208.016;-686.233;170.867;188.194;-675.207;3.48163;-0.0599441;0.126749;2.47497;-0.128;0.067;0
111;1664534701;777473471;0.407821;-0.00695268;-0.0454016;208.016;-686.233;170.867;188.182;-675.192;3.68974;-0.0477029;0.108343;2.54532;-0.166;0.092;0
112;1664534701;877444634;0.374741;-0.00500193;-0.0432131;208.016;-686.234;170.867;188.173;-675.18;3.8978;-0.0428873;0.0998165;2.63563;-0.078;0.045;0
113;1664534701;977418323;0.352062;-0.00447467;-0.0372579;208.016;-686.234;170.867;188.163;-675.173;4.11008;-0.0422143;0.0906369;2.61259;-0.111;-0.057;0
114;1664534702;77422255;0.339161;-0.0233286;-0.0213429;208.017;-686.233;170.867;188.155;-675.166;4.3219;-0.0304782;0.097423;2.53094;0.251;-0.298;0
115;1664534702;177386232;0.326899;-0.0651746;-0.0109877;208.017;-686.233;170.867;188.15;-675.161;4.53157;0.000586107;0.118425;2.49854;0.845;-0.21;0
116;1664534702;277363837;0.31486;-0.113933;-0.00449001;208.018;-686.232;170.867;188.151;-675.151;4.75273;0.0647809;0.159969;2.47019;1.055;-0.356;0
117;1664534702;377338787;0.305062;-0.153205;-0.0044216;208.018;-686.232;170.867;188.166;-675.133;4.97072;0.179679;0.231887;2.45573;1.233;-0.328;0
118;1664534702;477317928;0.294911;-0.176368;-0.00365062;208.015;-686.233;170.867;188.193;-675.106;5.18187;0.333385;0.302684;2.49764;0.917;-0.32;0
119;1664534702;577297805;0.282882;-0.18727;-0.00267462;208.015;-686.233;170.867;188.239;-675.073;5.40764;0.509053;0.358221;2.52656;0.669;-0.245;0
120;1664534702;677302061;0.266191;-0.194182;-0.00324163;208.016;-686.233;170.867;188.301;-675.034;5.66138;0.698002;0.43706;2.60097;0.477;-0.244;0
121;1664534702;777246650;0.248308;-0.196046;-0.00457826;208.016;-686.233;170.867;188.393;-674.982;5.9281;0.878158;0.508408;2.68036;0.253;-0.166;0
